textID,text,sentiment
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative
f0acd25d8e,Not happy,negative
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral
d6c34fa875, I`ll oscillate from one to the other.,neutral
614aed9113,I`m so very tired...and have insomnia.,negative
dfa577d3c1, Thanks Ennio,positive
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,negative
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive
e591a725ef, i still dont know what we would do though,neutral
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive
29f805a7d2,Terminator Salvation... by myself.,neutral
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,negative
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral
972dc5787d,_LaMont yr very young looking dude,positive
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative
1e46d72ec6," yep, i wish they were all playing dubiln",positive
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive
e6c9e5e3ab, 26th February,neutral
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive
5d57a5eda2, Thank you!  I`m working on `s,positive
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral
c2ea5cb58b,Not feeling all that well today,neutral
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative
5fc411e8d1,_berland LMAO I know I know,neutral
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative
3a98aa4762,Happy Mothers Day!!!,positive
886545bbab,"Yes, I am",neutral
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral
704c53f4cf,Happy star wars day! May the fourth be with you,positive
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive
