text,sentiment	
ق35: 10 دقائق على نهاية الشوط الأول ومازال التعادل السلبي يسطير على اللقاء تونس 0 ليبيا 0 #تصفيات_كأس_العالم تابع أحداث اللقاء: https://t.co/QcdKcZCzRL https://t.co/4CA0mXCosF,Neutral
neutral,La justice est l'administration de la loi.
positive,Aller déjeuner dehors avec mes filles
positive,Cette ma chérie.
_avenue Love your website! Wish I lived closer to sample the cupcakey treats,positive	
 thanks!! Yes!! A lot!,positive	
يوم انك مسمي نفسك شيخ السوق كنت تشجع النصر وبعد أزمة قطر قمت تغرد لصالح قطر حتى ردعليك الشاعر محمد القحطاني بيض الله وجهه وعراك على حقيقت,Negative
" Wow, thats quite the trip!",neutral	
 it makes perfect sense. I guess i am very down to earth. Thanks for your reply,positive	
 my monday starts on friday  but @ least I only work 4 days a week (long days),neutral	
 I spell my name alyson too! Aly for short! We spell it the best,positive	
حب فى الزنزانة بعد مسيرة سلمية حطت علينا فيها الداخلية بس مش بحنية 😂 عشان قلنا #تيران_وصنافير_مصرية https://t.co/meUimg8mpW,Negative
negative,C'est Windows pour toi ... je m'occupe d'environ 20 serveurs Windows et de 180 machines Windows qui me font mal tous les jours ... tire moi
عقبال ما يرجعوا تيران وصنافير https://t.co/BNYwU6crgs,Negative
positive,J'espère que vous appréciez vos idées !!!
سيستمر الحرب علي الحرية و سيستمر الأحرار يناضلون علي الفكرة ضد الأنظمة القمعية و ضد الجهل الذي هو ألد أعداء النور! #الثورة_مستمرة #ارحل_عشان_نبنيها #تيران_وصنافير_مصرية #يسقط_حكم_العسكر,Negative
listening to the cat snore,neutral	
نسرين:بتعمل ايه أنا:بتفرج علي ماتش السويد و إيطاليا ده في ايه؟ تصفيات كاس العالم ادا هو بيتلعب دلواقتي ليه مش المفروض شهر ٦ 🙆‍♂️🙆‍♂️,Negative
ربنا يحفظك يا محمد صلاح,Positive
" that`s half the solution, it doesn`t address the intrusion into the link-sharing process, but thanks",positive	
#ايطاليا لا تتأهل لكأس العالم ٢٠١٨ في روسيا وتخرج من ملحق تصفيات أوروبا #كأس_العالم يفقد أحد أركانه ☹️,Negative
positive,Faire du travail et aller à la grille un peu manger et prendre un peu de couleur! I & lt; 3 sunshine.
positive,Je vous remercie. Je viens d'ouvrir & amp; Laissez l'esprit parler. Tellement heureux quand les mots arrivent à quelqu'un.
أنفق حكام العرب ضد الربيع العربي أضعاف كلفة الإصلاح هم خونة كروش علي عروش بالنظر لفاشيات تخدم شعوبها لاتستغيث بالظلم تأمل يسقط كل ولاد الكلب,Negative
neutral,L'accès à une éducation de qualité est un objectif.
""""""""""" """"""""""""""""..الربيع العربي بحسب التسمية المستخدمة من قبل الأعداء كان يهدف لضرب الانتماء القومي، لكن بالمقابل ولولا ضعف هذا... https://t.co/d4GJE2rGg3""""""""""",Negative
اياب مباراة سويسرا و ايرلندا ش بعد قليلة ضمن ملحق تصفيات كأس العالم,Neutral
negative,"Essayez d'utiliser skimmer par fallon pour la première fois ... comme la vue d'ensemble et le style, serait cool, vous pourriez parcourir les photos"
شرايين بن سلمان المفتوحة.مروان الغفوريــــبصرف النظر عن نوايا ولي العهد السعودي فالحقيقة أنه أحاط نفسه بحزام... https://t.co/SSEE8mdPup,Negative
negative,"Pas twitter dans les 22 derniers jours, évidemment. 1:40 am et prenant une petite pause d'ochem."
neutral,Le droit à une nationalité est un droit.
 its so sad how dead it is.,negative	
 byeeeee,neutral	
 Aw...poor thing.,negative	
negative,Je vais me coucher et compter mes respirations jusqu'à ce que je m'endorme ... wooo lol .... c'est un jour de câlins aujourd'hui ... j'ai besoin de quelqu'un pour câliner avec
وهاهم مخانيث ثورة يناير,Negative
ولسه القنوات مكملة اعلانات شحاتة وطلب تبرعات #منتدي_شباب_العالم_٢٠١٧ https://t.co/jzgMieM1GP,Negative
استاذ خالد طمنا على المحامي الدويش و عسى غيابه خير,Negative
 I didn`t read the details so that may be it. Sara Jayne is a kid`s show so it can`t be that exciting.,negative	
positive,Short et débardeur
negative,Essayé avec smsjunction.com .. mais a eu des erreurs de pilote odbc.
"busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",positive	
negative,C'est mauvais
 You can go to www.TwitPic.com and log in with your Twitter details to add pics,neutral	
negative,"Bonjour, j'espère que tout le monde se sent mieux que moi .... ce froid a réussi à prendre son envol"
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative	
positive,faire la vaisselle
""""""""""" ياريتك عريان بلبوص وما بتصليش وناجح""",Negative
 baby I`m in maryland I`m NOT gonna make it  BUT I will see ur sexy **** next sat in camden VIP....come early n hang!!!!!,positive	
" yes unfuzzy, i prefer the fuzzy me and clear caleb..  wanna turn back the clock!",neutral	
" OK David, talk later  Have a great dayyyy ay ay ay ay",positive	
"Now, lets do funkey stuff, talking with magento, through xmlrpc with codeignite and output with amf (Zend) to flash",neutral	
positive,4hours boom boom
neutral,Une heure a soixante minutes.
وايه يعنى لعب في دول ما زيدان لاعب في بروسيا دورتموند ما ميدو لعب في توتنهام وروما وسلتافيجو وتاريخه كبير مش هقولك محمد صلاح لان صلاح كبير على المقرنات دى https://t.co/djZcqTHOBv,Neutral
#نبيل_ملعون ابرز دلائل الحماقه السياسيه في قطر ان للحين ماب فاهمين انها مقاطعه وليست حصار وهذا يكفي ، نبيل الوقوف مع جانب يواجه طرف اخر فهذا يعني الانصياع لكفه معينه ومن عادانا نعاديه افلست الذمم عندما امتلأت الجيوب,Negative
""""""""""" """"""""""""""""منتدى شباب العالم"""""""""""""""".. تعبير جديد عن حالة الفصام التي تعيشها #مصر https://t.co/KBE5RCA7Kn | #الخليج_أونلاين #الشباب https://t.co/aJ7femvZfw""""""""""",Negative
positive,"Maintenant, je m'ennuie, je n'ai personne d'autre à qui parler. Peut-être déranger demi xd 15 juin! J'espère que je vais rencontrer mon idole! je t'aime! & Lt; 3"
I lOve this day  No school --> studyin` quietly,positive	
negative,"J'ai manqué mon ps3, il est hors de jeu wutcha jouer? Avez-vous collé le «sang sur le sable»?"
المباراة اليوم: ساحل العاج Vs المغرب .  🏆:البطولة : تصفيات كأس العالم 2018: 📺:القنوات الناقلة : بي ان سبورت 2 . ⛳:الملعب:ملعب فيليكس هوفويت بوانيي 🎤:المعلق : جواد بدة  ⏰: 8:30 بتوقيت مكة المكرمة 👤:أشرف حكيمي #هلا_مدريد https://t.co/n1mSTbEjZW,Neutral
() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,negative	
neutral,L'Estonie est un pays balte.
محمد صلاح اسم الله عليه اسم الله عليه 😂😂,Positive
هذه احدى بركات الربيع القطري الذي سخرت قطر الأموال والإعلام لتدمير الانسان العربي,Negative
نصر الله كشف أمره وهو عميل إسرائيل وإيران ضد أي شيء يسمى عربي مثله مثل عون وهاب .طلال أرسلان. ال قانصوه. الحوثيون. حمدين صباحى. أسعد الهيكل. عبد الباري عطوان. أنيس النقاش. أحمد منصور. جمال الريان العبادي. المالكي. الصدر. الاعرجي. مشعان الجبوري. سليم الجبوري.بري.فرنجية.عمارالحكيم,Negative
 yes I do! Because he is going to the marines to protect & serve and leaving me!,neutral	
الناس اللي همها تذاكر المترو اللي زادت أو زيت سكر #سد_النهضة #تيران_وصنافير والمعتقلين💔وبلحه اللي كاتم ع نفسنا😈🐸 #جلاكسي دارك بقت15جنيه😱,Negative
positive,Fabuleux travail sur 700 club! Content pour le nouveau cd & amp; Vous y serez!
not well,negative	
positive,être encouragé. Quelque chose de génial va se passer. Attendez-vous.
i just bit my tongue.  blood everywhere!!!,negative	
فاضل شهر ونص تقريباً علي ذكري ثورة يناير الحقيقةانا كنت فاكرة اني نسيتها بس لما ابني سألني ايه أفضل يوم عشتيه في آخر 10سنين لقيتني برد بتلقائية 25 يناير,Positive
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive	
neutral,C'est une réponse.
 yooo myyyyye bust how I`m sick tooo... Just shoot me.  Long night tonight.,negative	
اهم ماتش في تصفيات كأس العالم في كل القارات اصلا 😂😂,Positive
negative,Vient de se rendre compte qu'il travaille avec beaucoup de racistes.
 cheers for the aptism link,positive	
neutral,L'observation est l'acte de remarquer quelque chose.
" Ah  So you`ve seen both. (Either way, you get to experience the fantasy of sound and shock waves in the vacuum of space. Heh.)",neutral	
#محمد_مختار_الشنقيطي:تعاضد الاستبداد المحلي والإقليمي والدولي على #الربيع_العربي:٣. وأكثرهم صفاقةً هو روسيا التي جاهرتْ بالإثم، واتخذت دماء شعوبنا أداة لإثبات الذات أمام الغرب، تباكيا على ذكرى الإمبراطورية السوفياتية الهالكة.,Negative
negative,Tumblr: c'est exactement ce qu'il se sent en portant un  tie 
_ I don`t see how there could possibly be another choice.,negative	
i <3 my new picture! its so pretty with the reflecting sunlight on the leaves!,positive	
negative,"«Groupe d'étude extraordinare» sur le point de quitter le campus ... certains des délits dépassent fini, bonne chose, mais endormi car h * # @ ... sera de retour @ 7h du matin"
_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,positive	
 cold and rainy,neutral	
_ was yeah... work in 7 hrs  how you,neutral	
ثمن وزير المالية السعودي، الأمر الملكي القاضي بتشكيل لجنة عليا لحصر قضايا الفساد، برئاسة ولي العهد الأمير بن سلمانhttps://t.co/l6Etc2hPt6 https://t.co/3OND5OpJVX,Neutral
"""""""""""   """"""""""""""""و الربيع العربي، هو ثورات شعوب لتحقيق الديمقراطية""""""""""""""""....... خلينا من الشعارات، ماشي معايا انا""""""""""",Negative
negative,"Assis à la maison, regarde jeremy kyle et s'ennuie!"
الخارجية الألمانية: مقاطعة #قطر تهدد التنمية الإقليمية وحل الأزمة يصب في مصلحة ألمانيا.,Negative
#حقيقه_قناه_الجزيرهالسبب الرئيسي في اشعال ثورات الربيع العربي هي قناه الجزيره التي حرضت الشعوب,Negative
 I`ll stop by for a bit when I`m off.  But have to rush to rehearsal - no quiet for me tonight.,neutral	
مذبحه الربيع العربي لصالح إسرائيل وضرب جيش مصر وسوريا وحل قضية فلسطين علي أرض مصرية؟ كله فشل سيناريو جديد وقيعه أيران والسعودية,Negative
"Grilled again for dinner last night for the senior`s final kairos dinner  Had steak, spicy mango sausages, hot wings, grilled vegi, corn!",neutral	
"_home Yes - that would be perfect.  That was supposed to happen, last night, still dry.  Usually happens as I a heading to appt.",positive	
I hate the dentist,negative	
ق25: الهدف الاول للمغرب عن طريق نبيل درار 🇲🇦 المغرب 1 - 0⃣ كوت ديفوار 🇮🇪 تصفيات كأس العالم https://t.co/IfqcrEzL9Q,Neutral
إنطلاق الشوط الثاني ! بث مباشر : مصر - غانا / تصفيات كأس العالم 2018: أفريقيا https://t.co/fEpjobmIyr,Neutral
  hope he is ok!,positive	
اكثر من 3500 شاب من 113 جنسيه مختلفه يمثلون دولهم رسميا في منتدى شباب العالم بشرم الشيخ اكبر دعايه عالميه للسياحه في مصر ويطلع واحد جاهل يسال عن فائدة المؤتمر تحيا مصر وعاش الرئيس,Positive
 I hope your mom is ok?,positive	
positive,L'heure du coucher finalement
شاهد محمد صلاح يُهين أقوى دفاعات العالم.. الهجمة التي أدخلت محمد صلاح في تصنيف أقوى 12 لاعب بالقدم اليسرى 🔥🔥عرض... https://t.co/JB1AnYdNpu,Positive
 I def will. If anyone leaves the room for a second he has to follow. He`s a really great dog otherwise so far.,positive	
ايضا في بلدان العرب بعد الربيع العربي استمرارها يعني استمرار مشاكل اللاجئين وزياده الكراهيه والحروب,Negative
Working on some Product Buzz (product reviews) for the blog... have a pain in the back of my neck,negative	
neutral,La rhétorique est l'art de la persuasion.
morning darlin`  Hope you`re feelin` tip-top  ? http://blip.fm/~5z7zs,positive	
لا تستغرب الترميز على السعودية لأنها هي الجائزة الكبرى من وراء مخطط الربيع العربي .. و الآن حمد بن جاسم غضب على حصار طابوره الخامس و لذلك الحملة الأمريكية تصعد ضد المملكة و ضد ولي عهدها بالذات.,Negative
دامهم يقولون انه حصار نفس الشي كأنه رافع الصوره المزعومه لان الي صاير بينا و بين قطر ليس حصار بل قطع علاقات و القطريين قامو يتبكبكون و يستعطفون العالم لكي يخرجو بمنظر المضطهد من جيرانه بقول الحصار,Negative
" I never know whether they include me. Just straight white men, right? I wanna be part of the problem too.",neutral	
هل كان الدور السلبي من #الخليج تجاه الربيع العربي بسبب الخوف على العرش؟  https://t.co/VMzowLfy2X,Neutral
تيران وصنافير مصريه غصب عنك وعن كلاب ال سعود وعن العرص السيسي,Negative
negative,"Pas amusant & amp; furieux? Le nouveau mantra pour les 2 breakers de la baie? Il s'agissait de 2 rampures, la ville a réagi exagérément & Serré"
  im trying to fix myself really but i need to stop cutting myself,negative	
negative,"Ouvrir une bière partiellement gelée = bière sur le grille-pain, sous le four et tout au comptoir. La cuisine a l'air de courir un fouet"
neutral,Le désordre est le manque d'ordre.
هدف محمد صلاح فى توتنهام الأفضل فى ليفربول لشهر أكتوبر(فيديو) https://t.co/LcEv7ZDgOs,Positive
had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,neutral	
positive,Vous moi à six locataires gardiens s'il vous plaît ou économisez pour la chambre s'il vous plaît ou même mieux jonas frères ce soir
positive,"Donc aujourd'hui, quelque temps, j'aimerais avoir 2 nouveaux livres, hantés & amp; le lecteur."
neutral,La géographie est l'étude de la surface de la Terre.
positive,A parcouru plus de 22 milles aujourd'hui
negative,Ne sait pas comment il est rentré la nuit dernière
I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you,neutral	
#اقاله_حسام_البدريايوا و جيبوا مرتضي منصور رجل اهلاوي صميم و حماسي و محترم,Positive
" alright. i REALLY wish you guys could`ve done a show in tennessee  because now, i can`t go to one of your shows :`(",neutral	
غرف غير غرف الربيع العربي !! https://t.co/h9JYSMkTSi,Negative
لاحول ولاقوة الا بالله .. وماذا عن تيران وصنافير .. جبهة منعدمة,Negative
_Cochran Hi Corey.. just saw your reply now.. here it is 5:30PM .. an I have a long night coming...,neutral	
كشف حساب بلحة ١ هدم سيناء بالكامل ٢ فرط في غاز شرق البحر المتوسط للكيان الصهيوني ٣ فرط في تيران وصنافير ٤ فرط في مياه نهر النيل ٥ غلق خمسة آلاف مصنع ٦ دمر السياحة https://t.co/3QYm8EsaU,Negative
 Well....not the Spurs!!!,neutral	
negative,Je viens de recevoir un texte de sarah
neutral,L'immunologie est l'étude du système immunitaire.
positive,Hou la la! J'espère faire quelque chose comme ça un jour
السعي وراء أي حرب في المنطقة العربية يعود بنا ٧ سنوات الي الوراء و احداث الربيع العربي و الإنفلات الأمني الذي سمح للجماعات الإرهابية بالإنتشار ؛ والمتضرر الأكبر سيكون مصر و شعبها . #السعوديّة #ايران #السيسي,Negative
positive,"Pas de prix spéciaux. Soupir, mais anthony devito a eu 100 dollars! Yay pour lui, bien sûr, la chanson sheena a eu 175 dollars. -_- ré:"
هى قالت على سبيل الضحك وبالنسبة للي هيفرط في مياه النيل وبالنسبة للي باع تيران وصنافير وبالنسبة للي قال معندناش صحة ولا تعليم,Negative
negative,Pas d'autres personnes ayant des problèmes?
اشهد بالله انك صدقت. من كان يتصور ان حمد بن خليفة بيطرد ابوه من قطر و يطلب من الانتربول القبص عليه. اعظم عقوق والدين سجله تاريخ البشرية حتي الان #الازمة_الخليجية #الكويت #قطر #السعودية #ابوظبي #البحرين #عمان #حصار_قطر #دول_الحصار,Negative
why the hell is it raining!! i hate the rain.,negative	
Morning all .. just into the office now,neutral	
Alexander Ovechkin is definitely my new favorite NHL player,positive	
هدف محمد صلاح فى توتنهام الأفضل فى ليفربول لشهر أكتوبر(فيديو) المزيد من التفاصيل: https://t.co/BPCqfl2Am,Positive
neutral,La sculpture est un art tridimensionnel.
neutral,Les usines sont des lieux de production industrielle.
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive	
#عيد_ميلاد_امير_القلوبمحمد صلاح هو أمير القلوب 😘😍تحيا مصر بولادها اللى رافعين اسمها فى العالم,Positive
negative,"Oui, le travail ... a commencé mal et a rapidement diminué! Histoire de ma vie pour être honnête"
مرتضى منصور : ممدوح عباس سبب رحيل شيكابالا للسعودية .. و مصطفى فتحى متمرد و جه الزمالك بأكلة فسيخ https://t.co/gzMZJhpcRn #الزمالك #زمالك,Negative
positive,Je suis prêt à faire les magasins !!!!
""""""""""" #ولي_العهد_السعودي: إيران ضالعة في """"""""""""""""عدوان عسكري مباشر"""""""""""""""" https://t.co/7IGJJx1bEi""""""""""",Neutral
قطر بدون حرب. سنتين. مقاطعه. وغلاق الحدود وترجع للصواب,Positive
i feel really weird,negative	
 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,positive	
positive,Je pense que vous avez bien fait. Les gens m'ont demandé beaucoup de choses. Nous allons retirer cette chaise de ce soir.
" I`m stuck in a try-to-merge-two-tools CSS hell, so no help from frameworks  Unless both tools had already used the same framework",negative	
negative,Est stressant parce que ma mûre continue à clignoter un alestatus rouge sans raison !! Ça m'induit et je le déteste !!!
 I`m going to the show in Amsterdam!  Can`t wait!,positive	
negative,"Nooooo !! Je le faisais bien, je ne suis pas autorisé à pleurer ... ughhh, rester en retard me fait réfléchir sur les choses ..."
Why can`t I make a phone call! I hate this anxiety ****. Someone cure me,negative	
"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",negative	
I`m pretty sure Isis has a tapeworm.  So she`s allowed to snuggle with me all she wants tonight.,neutral	
""""""""""" #مصر - #السيسي | الرئيس لـ""""""""""""""""شباب العالم"""""""""""""""": لن أقول لكم وداعا.. """"""""""""""""أهلا بكم فى نسخة منتدى 2018"""""""""""""""" https://t.co/bkAMSmOeIh""""""""""",Positive
 have a great camp!!!!! Wish I could be there.,positive	
محكمة مصرية تحتجز ناشطين في قضية تظاهر بشأن جزيرتي تيران وصنافير https://t.co/j84HzEpsLW,Neutral
لعل ما تفعله السعوديه الان هو ما يجب فعله فى مصر تحديا فنحن الأولى بحاملات التطهير فعلا فى مصر ..... او ربما هى لعنه #تيران_وصنافير,Negative
تذكري من هذه الازمه هذه المقولهلانها فعلا عرفتنا بقيمة قطر واهل قطروإذا أراد الله نشر فضيلة طويت أتاح لها لسان حسود كبرتوا بعيونا يا اهل قطر بعد هذه الازمة فعلا شعب يستحق الاحترام لم يرضخ ولم ينكر فضل الحاكم بل وقف معه في اشد ازمة مرت عليه,Positive
neutral,L'agriculture a commencé il y a environ 10 000 ans.
Can`t wait for  live! It`s ages away but still I should do a  and plan what I`m going to wear lol,positive	
neutral,L'Iran est un pays du Moyen-Orient.
neutral,La peau est le plus grand organe du corps.
