label|	text
negative|	Tellement fatigué de ma gorge me fait mal ... ooooohh ... j'ai juste eu une folle envie d'un pina colada / banana slushie !!!!		
positive|	télécharger indowebster dong banggggg		
positive|	vous êtes les bienvenus. Je vous en remerciais.		
positive|	hahaha!! OMG! Nous étions les deux rires au loin! Cuz das on roule ... ryt sheldawg?		
positive|	Awww pookie se sent mieux. Je prierai pour vous ... et sachez l'infirmière		
positive|	Yay! A trouvé un nouveau copain câlin		
neutral|	Je pense que j'ai rencontré mon premier "snob & quot; Sur Twitter ce soir. dommage. la vie continue!		
positive|	à travers l'univers. dormir. Répétez demain.		
neutral|	La patate douce sèche, hein?		
positive|	Salut jon! ravi de te l'entendre dire! À la croisière, je ne peux pas attendre! J'espère que tout va bien sur le chevalier! tu es aimé!		
positive|	Avoir une longue conversation avec maman sur le téléphone		
positive|	Yayyy! Lol. Je l'ai simplement demandé. Qu'a-t-elle dit?		
neutral|	Pratiquer des lignes / manières / voix pour la prochaine prise de vue. Probablement conduire mal à l'épreuve.		
positive|	Allons lire la nouvelle lune pour la 3ème fois, je ne peux pas avoir assez de série crépusculaire		
positive|	Aujourd'hui, c'est notre anniversaire de deux mois! Je t'aime trop diana. Omg, vous ne savez même pas que les talons de goudron ont gagné le ncaa woot !!!!!		
negative|	je m'ennuie		
neutral|	C'est un fond d'écran avec le carré rouge que je demandais		
positive|	Merci pour votre réponse. Je n'ai déjà trouvé cette réponse		
positive|	Ben ouais! J'ai seulement remarqué que je suis bb aussi.		
positive|	Juste tryna s'inspire de tout		
