label,text
قضيتنا عادلة, وتحركاتنا شرعية, ومطالبنا واضحة الترهيب ما يرهبناش, والتضييق ما يزيدنا كان إصرارراكم غالطين إذا فكّرتوا إنو باش نوخروا  على كل قلنا قبل و نعاودوها,positive
ولن تنجحوا في تجريم تحركاتنا ,positive
كل الدعم صديقتي الشجاعة ... كلنا معاك و كلنا في ظهرك ,positive
دمت حرة و شجاعة  ,positive
في تونس مزالوا يشربوا الكوكا والفانتا وغيرها من المنتجات ومزالوا يقضيو من كارفور ويشريو دليس...,negative
 كارفور تونس مزالت تدور و تبعث في الميساجات لحرفاءها القدم. الواحد لا يزي يفرح ان المقاطعة عاطية مفعول, زيد يفرح الي الفلوس الي ماشية للدعاية, هي فلوس ناقصة على اعانات كارفور للاحتلال.,positive
 تهنئة من القلب ,positive
ألف مبروك للتلميذ المتميز محمد الفاضل العجبوني 1ث1الحاصل على المرتبة الأولى بالمعهد بمعدل سنوي مشرّف جدا 19.06,positive
نتمنى لك مستقبلاً زاهراً مليئاً بالمزيد من النجاحات والتألق في مشوارك الدراسي .,positive
فخورون بك دائماً! ,positive
 حسن هاذاكا تحسو زوفري وفاسد وpub متاعو لكل قلة حياء وقلة تربية ..,negative
نرجس 38 سنة زبّورها كي باب كارفور ..ترا ذكر يتحل وحدو ... ,negative
قاطع قاطع كارفور   ومول تاجر الحومة,negative
 PROMO برعاية الإبا.دة... ,negative
ينجم يربحكم دعوة مظلوم و عضوية ذهبية في الإبا.دة زادة ....,positive
#قاطع_كارفور #BoycottCarrefour ,negative
 هذا ما فعل أحرار أوروبا لأجل غزة ليسو عرب ولا مسلمين ولكن عندهم إنسانية وكرامة ....لكن للاسف مازال الكثير من بني جلدتنا لا يستطعون مقاطعة كارفور أو قارورة كولا أو  علبة دليس أو غيرها ويتحجج   آش ماشي تعمل هذي المقاطعة     ,negative
 يا تونسي يا تونسية كارفور صهيونية ,negative
قاطعوا كارفور الصهيونية  ,negative
#قاطعوا #قاطعوا_carrefour ,negative
مالبرشا مؤشرات الباهية الي قاعدة توصل على المقاطعة. شكون آخر كارفور تبعثلو في ميساجات؟,neutral
 بالله وينو اكا الجيعان الطحان اللي مينجمش يقاطع كارفور و كوكا كولا و ديليس و يقلك شعندها تعمل المقاطعة  ..,negative
 شوف شوف سيدك الاوروبي الموش العربي و موش مسلم شنو عامل على خاطر خواتك في غزة ....,positive
راهو كيتجي تشوف مفماش فرق بينك و بين حفتر و السيسي .. حتى انت جيعان و لو كان جيت تحكم و عندك سلطة راك عملت اكثر منهم ,negative
 سقطة جديدة من سقطات #كارفور ..,negative
إن لم تستحي فأفعل ما شئت,neutral
#علم تونس هذا غالي عليكم برشا يا أوباش الإحتلال ماتت على خاطرو رجال و انتم حاطينو في شلاكة لعنة الله عليكم  ,negative
 {فَوَرَبِّكَ لَنَسْأَلَنَّهُمْ أَجْمَعِينَ, عَمَّا كَانُوا يَعْمَلُونَ},neutral
والله سيسألكم عمّا كنتم تعملون, فأعدّوا الأجوبة ! ,neutral
شباب والله توحشت كارفور ,negative
اليوم واقف في كارفور باش نخلص... اللي تخدم في الكاسة تحكي مع صاحبتها قاتلها :تعرف اشكون كلمني اليوم ؟ وأنا عوض نقلها ڨداش قلتلها اشكون ؟؟,neutral
